Date,Asset,Adjusted Close
2021-04-08,Reliance Industries,905.1035766601562
2021-04-09,Reliance Industries,894.5872802734375
2021-04-12,Reliance Industries,862.5869140625
2021-04-13,Reliance Industries,871.9071655273438
2021-04-15,Reliance Industries,877.5489501953125
2021-04-16,Reliance Industries,872.0425415039062
2021-04-19,Reliance Industries,858.3217163085938
2021-04-20,Reliance Industries,858.0734252929688
2021-04-22,Reliance Industries,860.4430541992188
2021-04-23,Reliance Industries,859.5177612304688
2021-04-26,Reliance Industries,874.6378173828125
2021-04-27,Reliance Industries,897.5661010742188
2021-04-28,Reliance Industries,901.47021484375
2021-04-29,Reliance Industries,913.5437622070312
2021-04-30,Reliance Industries,900.2064819335938
2021-05-03,Reliance Industries,884.206298828125
2021-05-04,Reliance Industries,865.046630859375
2021-05-05,Reliance Industries,866.62646484375
2021-05-06,Reliance Industries,871.546142578125
2021-05-07,Reliance Industries,871.8845825195312
2021-05-10,Reliance Industries,869.3795776367188
2021-05-11,Reliance Industries,872.5164794921875
2021-05-12,Reliance Industries,863.4896240234375
2021-05-14,Reliance Industries,874.3895874023438
2021-05-17,Reliance Industries,884.7930908203125
2021-05-18,Reliance Industries,897.2501831054688
2021-05-19,Reliance Industries,901.357421875
2021-05-20,Reliance Industries,896.0991821289062
2021-05-21,Reliance Industries,903.8397216796875
2021-05-24,Reliance Industries,896.2120361328125
2021-05-25,Reliance Industries,886.0568237304688
2021-05-26,Reliance Industries,889.1710205078125
2021-05-27,Reliance Industries,891.9017333984375
2021-05-28,Reliance Industries,945.476318359375
2021-05-31,Reliance Industries,975.0393676757812
2021-06-01,Reliance Industries,978.9209594726562
2021-06-02,Reliance Industries,993.52197265625
2021-06-03,Reliance Industries,997.313232421875
2021-06-04,Reliance Industries,988.6700439453125
2021-06-07,Reliance Industries,1005.3245849609375
2021-06-08,Reliance Industries,999.54736328125
2021-06-09,Reliance Industries,981.6741333007812
2021-06-10,Reliance Industries,985.2849731445312
2021-06-11,Reliance Industries,1002.3751831054688
2021-06-14,Reliance Industries,1016.7554321289062
2021-06-15,Reliance Industries,1019.065185546875
2021-06-16,Reliance Industries,1001.6731567382812
2021-06-17,Reliance Industries,1003.5075073242188
2021-06-18,Reliance Industries,1008.0366821289062
2021-06-21,Reliance Industries,1013.2905883789062
2021-06-22,Reliance Industries,1008.08203125
2021-06-23,Reliance Industries,998.8425903320312
2021-06-24,Reliance Industries,975.3587036132812
2021-06-25,Reliance Industries,953.1431274414062
2021-06-28,Reliance Industries,944.7867431640625
2021-06-29,Reliance Industries,945.6021118164062
2021-06-30,Reliance Industries,955.9511108398438
2021-07-01,Reliance Industries,950.1991577148438
2021-07-02,Reliance Industries,964.284912109375
2021-07-05,Reliance Industries,973.8641357421875
2021-07-06,Reliance Industries,962.3599853515625
